City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
343,azul,-36.777,-59.8585,14.75,39,1,3.49,AR,1696090290
344,betio village,1.358,172.9211,27.02,69,72,1.91,KI,1696090291
345,coahuayana de hidalgo,18.7,-103.6583,31.57,64,76,0.54,MX,1696090038
346,ust'-ilimsk,58.0006,102.6619,5.24,94,68,2.24,RU,1696090291
347,harare,-17.8294,31.0539,23.97,42,98,3.95,ZW,1696090209
348,sauri,11.7266,6.7837,27.26,65,89,2.52,NG,1696090292
349,kruisfontein,-34.0033,24.7314,13.82,74,90,10.58,ZA,1696090292
350,imgarr,35.9206,14.3664,24.82,69,20,3.6,MT,1696090292
351,suva,-18.1416,178.4415,21.71,73,20,3.09,FJ,1696090075
352,nyurba,63.2842,118.3319,9.46,63,100,4.02,RU,1696090293
353,bayanhongor,46.7167,100.1167,0.58,44,20,1.49,MN,1696090293
354,olyokminsk,60.3736,120.4264,6.03,68,100,1.79,RU,1696090135
355,floro,61.5996,5.0328,11.98,87,100,7.72,NO,1696090160
356,itaituba,-4.2761,-55.9836,36.09,49,20,0.0,BR,1696089851
357,nadi,-17.8,177.4167,20.0,83,20,2.57,FJ,1696090294
358,gunnedah,-30.9833,150.25,16.95,48,35,0.6,AU,1696090295
359,barra de santo antonio,-9.4047,-35.5072,28.6,60,93,4.4,BR,1696090076
360,puerto santa,-8.9906,-78.6456,20.17,80,94,3.81,PE,1696090295
361,angaur state,6.906,134.13,28.27,81,100,7.14,PW,1696090105
362,bojnurd,37.4747,57.329,17.74,24,0,0.71,IR,1696090296
